,Name,Age,Ram,Storage,Price,sd_card,Rating
698,Samsung,2,4,256,70433,1,5
699,Redmi,1,6,128,25519,1,1
700,Samsung,1,8,256,31521,1,5
701,Redmi,2,16,1,20856,1,1
702,Apple,5,6,128,44891,2,5
703,Vivo,2,8,1,90135,2,1
704,Vivo,3,6,128,21118,2,1
705,Nokia,3,8,1,32093,2,1
706,Apple,1,2,128,89108,2,5
707,OnePlus,2,2,256,19080,1,1
708,Motorola,5,8,256,70924,1,5
709,OnePlus,1,4,512,20324,1,1
710,Redmi,1,6,1,38056,1,1
711,Nokia,3,6,512,40310,1,5
712,OnePlus,5,16,128,47588,2,1
713,Apple,5,8,256,43170,2,5
714,OnePlus,4,8,512,93468,1,5
715,Pixel,3,4,1,63008,1,5
716,Motorola,2,8,128,29587,2,1
717,Redmi,5,16,512,99525,2,5
718,Nokia,4,8,512,24184,2,5
719,Realme,3,16,512,97663,2,1
720,Oppo,4,2,512,19240,1,5
721,OnePlus,4,6,128,85421,1,1
722,Samsung,3,6,256,91923,1,1
723,Realme,1,16,256,42924,2,5
724,Pixel,2,6,1,98454,2,5
725,Apple,1,8,1,33737,2,1
726,Motorola,3,2,1,61147,2,1
727,Nokia,4,16,512,80669,2,5
728,Redmi,3,2,128,42004,2,5
729,Apple,2,2,1,45935,1,5
730,Vivo,4,6,1,21336,2,5
731,Redmi,5,16,128,46958,1,5
732,Samsung,2,2,256,76773,2,1
733,Pixel,4,6,256,73053,2,5
734,Apple,3,8,1,47641,2,1
735,Oppo,5,16,512,14369,1,5
736,Vivo,2,8,128,46962,1,5
737,Nokia,2,16,128,58312,1,1
738,Oppo,4,6,512,88535,2,5
739,OnePlus,4,16,256,22583,1,1
740,Redmi,5,4,256,36837,1,5
741,Motorola,3,2,1,45779,1,5
742,OnePlus,1,4,1,88316,1,1
743,Nokia,1,6,512,67185,1,5
744,Motorola,4,8,128,89420,1,5
745,Motorola,3,4,512,66549,1,5
746,Vivo,3,16,1,15261,1,1
747,Pixel,5,16,512,62524,1,1
748,OnePlus,4,16,128,59395,1,1
749,Apple,2,4,512,82232,1,5
750,Vivo,4,4,256,26922,2,1
751,Redmi,5,6,512,66725,2,1
752,Samsung,3,2,1,52628,1,5
753,OnePlus,2,16,128,47099,1,1
754,Realme,5,2,1,80254,1,5
755,Oppo,5,6,512,83027,1,5
756,Samsung,5,16,512,63509,1,1
757,Realme,3,2,256,54234,2,5
758,Redmi,3,2,256,42572,1,5
759,Samsung,3,6,1,56092,2,1
760,Vivo,1,6,1,42370,1,1
761,Realme,1,6,1,62071,1,5
762,OnePlus,1,16,1,21822,2,1
763,Realme,3,4,256,68297,2,5
764,Apple,4,16,512,46932,1,1
765,Pixel,4,16,512,81601,1,5
766,Oppo,2,16,512,74508,2,1
767,Realme,1,4,1,85563,1,1
768,Nokia,1,6,256,14536,1,5
769,Motorola,5,4,128,87726,2,5
770,Redmi,3,4,128,23496,1,5
771,Pixel,3,6,1,66294,2,1
772,Samsung,1,8,1,24930,1,1
773,Samsung,5,2,1,96956,1,5
774,Redmi,4,2,512,81937,2,1
775,Redmi,5,8,1,46317,1,1
776,Motorola,2,4,1,63426,1,1
777,Realme,2,2,256,75667,1,5
778,Realme,5,4,256,26728,1,5
779,Samsung,4,8,128,54646,2,5
780,Vivo,1,6,256,47027,1,1
781,Motorola,2,8,128,11671,1,1
782,OnePlus,3,4,128,32847,1,1
783,Oppo,2,6,256,90698,2,5
784,Apple,5,16,512,75273,1,5
785,Pixel,1,6,512,27958,2,1
786,Samsung,3,8,512,63144,1,1
787,Motorola,3,2,512,37529,1,5
788,Apple,1,2,1,35452,1,1
789,Oppo,2,2,512,93975,1,5
790,Redmi,1,6,128,64904,2,1
791,Redmi,2,2,256,26662,1,1
792,Pixel,3,4,256,62186,1,1
793,Pixel,2,16,512,19953,1,1
794,Realme,4,4,1,63801,2,1
795,Realme,4,8,1,79296,2,5
796,OnePlus,3,4,512,63706,1,1
797,Realme,5,16,512,35922,1,1
798,Samsung,4,16,512,39864,1,1
799,Pixel,3,8,512,39692,2,1
800,Samsung,2,2,1,10370,2,1
801,Vivo,5,4,1,70215,1,1
802,Samsung,2,6,512,84955,2,5
803,Motorola,2,4,256,77495,1,5
804,Vivo,3,2,256,29036,2,5
805,Apple,2,4,512,16088,1,5
806,Pixel,1,8,128,46421,1,1
807,Redmi,5,6,1,27507,2,5
808,Redmi,3,6,512,66597,1,5
809,OnePlus,2,8,512,28323,2,5
810,Vivo,5,8,128,88616,2,1
811,Pixel,2,4,512,18677,2,1
812,OnePlus,4,8,256,49117,1,1
813,Motorola,5,8,512,67432,1,1
814,Realme,4,4,128,79292,2,5
815,Vivo,1,2,512,57837,2,1
816,Pixel,1,6,1,67789,1,1
817,Motorola,2,8,1,26342,2,1
818,Vivo,5,4,128,18318,2,1
819,Realme,1,2,128,33378,1,1
820,Motorola,3,4,512,80213,2,1
821,Vivo,4,16,512,76285,2,5
822,Apple,3,2,512,78105,1,1
823,Realme,2,16,1,82931,2,5
824,Nokia,1,2,1,20503,1,1
825,Apple,3,2,128,67087,1,5
826,OnePlus,1,2,256,24020,2,1
827,Nokia,5,4,512,17787,2,5
828,Pixel,3,6,128,12243,2,1
829,Apple,5,2,128,47742,1,1
830,Apple,3,16,1,47660,2,5
831,Oppo,2,2,512,68967,2,5
832,Vivo,2,4,128,68193,1,5
833,Oppo,5,4,128,56327,2,5
834,Realme,5,4,256,86182,1,1
835,Pixel,1,4,512,76923,1,5
836,Nokia,2,4,128,88171,2,1
837,Oppo,2,2,512,41980,1,1
838,Realme,4,6,1,29185,2,1
839,Realme,1,6,256,39416,1,1
840,Nokia,1,16,128,84052,2,5
841,Vivo,4,16,128,82722,2,1
842,Apple,3,8,512,90776,1,1
843,Motorola,1,6,512,21377,2,1
844,OnePlus,2,16,256,16576,2,5
845,Nokia,1,16,1,65860,1,5
846,OnePlus,5,16,128,90240,2,5
847,Apple,5,8,1,21497,1,1
848,Apple,2,2,128,49146,2,5
849,Pixel,3,8,1,98827,2,1
850,Apple,5,4,256,42209,1,1
851,Pixel,2,16,1,41360,1,1
852,Oppo,3,4,256,96884,2,5
853,Redmi,5,2,1,95714,2,5
854,OnePlus,4,4,128,26806,2,1
855,OnePlus,2,2,512,94659,1,1
856,Apple,1,8,256,31963,2,5
857,Vivo,5,8,128,47397,1,1
858,Oppo,1,16,256,29020,1,5
859,Realme,5,6,256,39730,1,1
860,Pixel,5,2,256,54281,2,1
861,OnePlus,5,4,1,20384,2,5
862,Oppo,4,8,1,92693,2,1
863,Oppo,2,6,256,43536,2,5
864,Pixel,2,8,256,30060,2,1
865,Apple,2,4,256,50389,2,5
866,Nokia,3,4,512,68947,2,5
867,Nokia,2,8,128,83624,1,1
868,Motorola,5,6,1,49386,2,1
869,Pixel,5,16,128,56325,2,5
870,Realme,5,4,256,59264,2,5
871,Pixel,1,4,128,23884,1,1
872,Vivo,2,16,512,60261,1,1
873,Apple,1,2,1,22070,1,1
874,Samsung,3,6,128,67692,2,1
875,Vivo,4,16,128,28168,1,1
876,Vivo,3,4,256,97223,1,5
877,Nokia,1,4,128,19028,1,5
878,OnePlus,3,16,512,85527,2,5
879,Apple,2,16,1,71365,2,5
880,OnePlus,2,16,256,31834,1,1
881,Redmi,3,8,512,69571,2,1
882,Nokia,2,16,256,92891,2,5
883,Realme,5,4,256,33004,1,1
884,Realme,1,6,128,86068,2,1
885,Realme,5,4,512,28470,1,1
886,Realme,5,4,256,70404,2,1
887,Redmi,3,6,512,98852,1,1
888,OnePlus,1,4,1,48120,1,1
889,Redmi,2,16,128,58749,1,5
890,Redmi,4,2,1,15850,2,5
891,Redmi,3,4,256,90470,2,1
892,Samsung,4,8,1,57466,2,1
893,OnePlus,4,2,512,50923,1,5
894,Apple,2,16,1,64148,2,5
895,Vivo,2,2,1,68647,2,1
896,Apple,3,6,1,88441,1,5
897,Oppo,5,8,1,34395,2,1
898,Vivo,1,8,128,69169,1,5
899,Apple,4,6,1,44064,1,1
900,Pixel,4,16,128,46254,2,5
901,Vivo,4,4,1,79251,1,5
902,Samsung,1,4,256,20463,1,1
903,Motorola,1,8,128,66199,1,5
904,Pixel,5,4,256,73726,1,5
905,Redmi,1,6,1,38334,2,1
906,Oppo,1,16,256,11135,2,1
907,Oppo,5,8,512,84026,2,5
908,Apple,4,8,512,45554,2,5
909,Pixel,1,16,512,92538,2,5
910,Redmi,3,16,1,94059,2,5
911,Motorola,4,4,128,62428,2,1
912,Redmi,2,8,256,43560,1,1
913,OnePlus,4,16,512,37142,2,1
914,Pixel,4,8,128,84025,2,5
915,Pixel,2,6,256,60344,1,1
916,Samsung,2,4,512,44026,1,1
917,Oppo,4,6,1,24771,2,5
918,Realme,5,8,512,25004,2,5
919,Pixel,2,16,1,12048,1,1
920,Motorola,3,6,128,20211,1,1
921,Apple,3,4,1,11696,1,1
922,Vivo,5,2,128,51870,1,1
923,Realme,3,16,128,62727,1,1
924,Motorola,4,8,1,14567,1,1
925,Nokia,2,4,1,82013,2,1
926,Samsung,2,16,512,14289,2,5
927,Motorola,4,8,128,35017,1,1
928,Pixel,4,2,128,66313,1,5
929,OnePlus,4,8,512,10003,2,5
930,Nokia,5,16,1,44493,2,5
931,OnePlus,1,4,512,61761,1,5
932,OnePlus,2,2,128,38824,1,1
933,Apple,1,8,128,12270,1,1
934,Redmi,4,8,128,48947,1,1
935,Samsung,2,6,256,31192,1,5
936,Samsung,1,6,512,66020,2,5
937,Apple,5,6,128,17570,2,5
938,Redmi,5,8,1,99016,2,5
939,Pixel,1,2,256,61092,1,5
940,Nokia,1,4,256,51977,2,5
941,Samsung,4,16,256,78916,2,1
942,Apple,5,4,1,45791,1,5
943,Vivo,1,4,128,59380,1,1
944,Vivo,5,2,128,92858,2,1
945,Vivo,3,16,512,22925,1,1
946,Realme,1,2,128,36458,1,1
947,Oppo,4,8,256,81419,2,5
948,Nokia,1,8,512,51282,2,1
949,Motorola,3,16,1,22524,1,1
950,Vivo,4,16,256,33023,1,1
951,Nokia,1,6,1,61974,2,5
952,Pixel,3,4,1,50583,2,1
953,Samsung,4,8,256,85433,1,1
954,OnePlus,2,2,512,29040,1,5
955,Samsung,1,6,1,95015,2,1
956,OnePlus,2,2,1,66418,1,5
957,OnePlus,3,8,128,57900,1,5
958,Nokia,4,8,1,96369,1,5
959,Pixel,4,2,256,30029,1,5
960,Realme,5,16,512,98554,2,1
961,Pixel,1,8,128,68453,1,5
962,Redmi,5,6,256,35492,2,1
963,Apple,1,6,512,15816,1,1
964,Pixel,5,6,512,93630,2,5
965,Motorola,4,6,256,34204,2,1
966,Vivo,4,2,128,37739,2,5
967,Samsung,4,16,1,20088,2,1
968,Samsung,2,2,1,60292,1,5
969,Motorola,5,4,128,71411,1,1
970,Redmi,5,16,256,79943,1,1
971,Pixel,1,8,1,57736,1,1
972,Vivo,5,4,1,11114,1,1
973,Nokia,2,4,128,62817,1,1
974,Samsung,3,2,256,11767,1,1
975,Samsung,2,4,512,96620,1,1
976,Apple,3,4,128,17799,1,5
977,Apple,1,8,512,86622,2,5
978,OnePlus,4,4,256,61603,2,1
979,Samsung,1,16,128,19975,2,5
980,Redmi,2,16,128,84204,1,1
981,Vivo,4,16,256,69050,1,1
982,Samsung,2,2,256,67448,2,5
983,Apple,2,2,1,83962,1,1
984,Redmi,1,4,256,75161,2,1
985,Nokia,2,6,512,22362,2,1
986,Redmi,2,16,512,20747,1,1
987,Realme,3,6,512,98602,2,1
988,Realme,1,4,1,79932,1,1
989,OnePlus,5,16,256,28502,2,5
990,OnePlus,3,16,1,46011,1,5
991,OnePlus,1,16,256,74934,2,5
992,Apple,1,16,128,17811,1,5
993,Oppo,1,4,256,80122,1,5
994,OnePlus,1,2,256,57323,1,1
995,Vivo,4,2,1,13697,2,5
996,Apple,5,6,256,10087,2,5
997,Pixel,1,16,1,11705,1,5
998,Oppo,4,8,128,51779,1,5
999,OnePlus,3,2,1,59084,2,1
